id,year,era,country,brand,campaign,agency,writer,director,genre,category,format,why,link
224,2009,2000s,USA,Google,Parisian Love,Google Creative Lab,N/A,Mike Yaw,Emotional,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Google+Parisian+Love+commercial
225,2009,2000s,USA,Old Spice,Questions / later campaign,Wieden+Kennedy,Craig Allen,Tom Kuntz,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Old+Spice+Questions+later+campaign+commercial
226,2010,2010s,USA,Old Spice,The Man Your Man Could Smell Like,Wieden+Kennedy,Craig Allen,Tom Kuntz,Brand Film / TVC,Advertising,Film,A character-led campaign built around a crystal-clear product benefit and relentless comedic escalation,https://www.youtube.com/results?search_query=Old+Spice+The+Man+Your+Man+Could+Smell+Like+commercial
227,2010,2010s,USA,Volkswagen,The Force,Deutsch LA,Eric Baldwin,Lance Accord,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Volkswagen+The+Force+commercial
228,2010,2010s,USA,Chrysler,Imported from Detroit,Wieden+Kennedy,Jeff Goodby,Samuel Bayer,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Chrysler+Imported+from+Detroit+commercial
229,2010,2010s,UK,John Lewis,Always a Woman,Adam&EveDDB,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+Always+a+Woman+commercial
230,2010,2010s,Australia,Metro Trains,Dumb Ways to Die,McCann Melbourne,John Mescall,Julian Frost,Brand Film / TVC,Advertising,Film,A masterclass in making a public-safety message entertaining enough to become culture,https://www.youtube.com/results?search_query=Metro+Trains+Dumb+Ways+to+Die+commercial
231,2011,2010s,UK,John Lewis,The Long Wait,Adam&EveDDB,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+The+Long+Wait+commercial
232,2011,2010s,USA,Google,Dear Sophie,Google Creative Lab,,,Emotional,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Google+Dear+Sophie+commercial
233,2011,2010s,USA,Nike,Jogger,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Jogger+commercial
234,2011,2010s,Australia,Old Spice,Muscle Music,Wieden+Kennedy,,,Brand Film / TVC,Advertising,Film,"A strong example of Australia advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Old+Spice+Muscle+Music+commercial
235,2012,2010s,USA,Procter & Gamble,Best Job,Wieden+Kennedy,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Procter+Gamble+Best+Job+commercial
236,2012,2010s,USA,Dove,Real Beauty Sketches,Ogilvy Brazil,,John X Carey,Social / Purpose,Advertising,Film,"Shows how a brand can turn a social tension into a simple, highly shareable creative platform",https://www.youtube.com/results?search_query=Dove+Real+Beauty+Sketches+commercial
237,2012,2010s,UK,Three,Moonwalking Pony,Wieden+Kennedy,,,Humour,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Three+Moonwalking+Pony+commercial
238,2013,2010s,USA,Chipotle,The Scarecrow,Crispin Porter + Bogusky,,Johnny Kelly,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Chipotle+The+Scarecrow+commercial
239,2013,2010s,UK,Guinness,Made of More / Empty Chair,AMV BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+Made+of+More+Empty+Chair+commercial
240,2013,2010s,USA,Google,Chrome: Dear Sophie,Google Creative Lab,,,Emotional,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Google+Chrome+Dear+Sophie+commercial
241,2013,2010s,Australia,Melbourne Metro,Dumb Ways to Die,McCann Melbourne,John Mescall,Julian Frost,Brand Film / TVC,Advertising,Film,A masterclass in making a public-safety message entertaining enough to become culture,https://www.youtube.com/results?search_query=Melbourne+Metro+Dumb+Ways+to+Die+commercial
242,2014,2010s,USA,Always,Like a Girl,Leo Burnett Chicago,,Lauren Greenfield,Social / Purpose,Advertising,Film,"Shows how a brand can turn a social tension into a simple, highly shareable creative platform",https://www.youtube.com/results?search_query=Always+Like+a+Girl+commercial
243,2014,2010s,UK,Sainsbury's,Christmas 1914,Wieden+Kennedy,,,Festive,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Sainsbury+s+Christmas+1914+commercial
244,2014,2010s,USA,P&G,"Thank You, Mom / Pick Them Back Up",Wieden+Kennedy,,,Emotional,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=P+G+Thank+You+Mom+Pick+Them+Back+Up+commercial
245,2014,2010s,USA,ALS Association,Ice Bucket Challenge,Digital/Social,,,Social / Purpose,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=ALS+Association+Ice+Bucket+Challenge+commercial
246,2014,2010s,UK,John Lewis,Monty the Penguin,Adam&EveDDB,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+Monty+the+Penguin+commercial
247,2015,2010s,USA,Supercell,Clash of Clans / Revenge,Wieden+Kennedy,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Supercell+Clash+of+Clans+Revenge+commercial
248,2015,2010s,UK,Honda,Paper,RPA,Steve Weller,PES,Product Demo / Craft,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Honda+Paper+commercial
249,2015,2010s,USA,Always,Like a Girl / Unstoppable,Leo Burnett,,,Social / Purpose,Advertising,Film,"Shows how a brand can turn a social tension into a simple, highly shareable creative platform",https://www.youtube.com/results?search_query=Always+Like+a+Girl+Unstoppable+commercial
250,2015,2010s,USA,Google,Year in Search,Google Creative Lab,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Google+Year+in+Search+commercial
251,2016,2010s,USA,Budweiser,Born the Hard Way,David,N/A,N/A,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Budweiser+Born+the+Hard+Way+commercial
252,2016,2010s,UK,John Lewis,Buster the Boxer,Adam&EveDDB,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+Buster+the+Boxer+commercial
253,2016,2010s,USA,Coca-Cola,Brotherly Love,Ogilvy,,,Emotional,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Coca+Cola+Brotherly+Love+commercial
254,2016,2010s,Australia,Carlton & United Breweries,Meet Graham,Clemenger BBDO Melbourne,,,Brand Film / TVC,Advertising,Film,"A strong example of Australia advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Carlton+United+Breweries+Meet+Graham+commercial
255,2016,2010s,UK,Channel 4,We're the Superhumans,4Creative,,Dougal Wilson,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Channel+4+We+re+the+Superhumans+commercial
256,2017,2010s,USA,Nike,Equality,Wieden+Kennedy,,Melina Matsoukas,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Equality+commercial
257,2017,2010s,UK,John Lewis,Moz the Monster,Adam&EveDDB,,Michel Gondry,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+Moz+the+Monster+commercial
258,2017,2010s,USA,Amazon,Alexa Loses Her Voice,Lucky Generals,Aaron Lampert,Wayne McClammy,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Amazon+Alexa+Loses+Her+Voice+commercial
259,2017,2010s,USA,FCK,We Are FCK,KFC UK,Mother,,Humour,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=FCK+We+Are+FCK+commercial
260,2018,2010s,USA,Nike,Dream Crazy,Wieden+Kennedy,David Droga,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Dream+Crazy+commercial
261,2018,2010s,USA,Burger King,Whopper Detour,FCB New York,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Burger+King+Whopper+Detour+commercial
262,2018,2010s,USA,P&G,The Talk,BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=P+G+The+Talk+commercial
263,2018,2010s,UK,IKEA,The Troll,Mother London,,,Humour,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=IKEA+The+Troll+commercial
264,2018,2010s,UK,John Lewis,Bohemian Rhapsody,Adam&EveDDB,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+Bohemian+Rhapsody+commercial
265,2018,2010s,USA,Coca-Cola,Share a Coke,Ogilvy,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Coca+Cola+Share+a+Coke+commercial
266,2019,2010s,USA,Nike,Dream Crazier,Wieden+Kennedy,Danielle Mitchell,Kim Gehrig,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Dream+Crazier+commercial
267,2019,2010s,USA,Gillette,The Best Men Can Be,Grey New York,,Kim Gehrig,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Gillette+The+Best+Men+Can+Be+commercial
268,2019,2010s,UK,Cadbury,There's a Glass and a Half in Everyone,VCCP,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Cadbury+There+s+a+Glass+and+a+Half+in+Everyone+commercial
269,2019,2010s,USA,Apple,Bounce,TBWA\Media Arts Lab,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Apple+Bounce+commercial
270,2019,2010s,USA,Microsoft,Changing the Game,McCann New York,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Microsoft+Changing+the+Game+commercial
271,2019,2010s,UK,John Lewis,Excitable Edgar,Adam&EveDDB,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+Excitable+Edgar+commercial
272,2020,2020s,USA,Nike,You Can't Stop Us,Wieden+Kennedy,,Daniel Kleinman,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+You+Can+t+Stop+Us+commercial
273,2020,2020s,USA,P&G,The Pause,Wieden+Kennedy,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=P+G+The+Pause+commercial
274,2020,2020s,USA,Coca-Cola,Open Like Never Before,WPP,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Coca+Cola+Open+Like+Never+Before+commercial
275,2020,2020s,UK,John Lewis,Give a Little Love,Adam&EveDDB,,,Emotional,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+Give+a+Little+Love+commercial
276,2020,2020s,UK,BBC,The Supporting Act,BBC Creative,,,Social / Purpose,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=BBC+The+Supporting+Act+commercial
277,2020,2020s,USA,Google,Loretta,Google Creative Lab,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Google+Loretta+commercial
278,2021,2020s,USA,Google,Year in Search / The Most Searched,Google Creative Lab,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Google+Year+in+Search+The+Most+Searched+commercial
279,2021,2020s,USA,Dove,Reverse Selfie,Ogilvy,,,Social / Purpose,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Dove+Reverse+Selfie+commercial
280,2021,2020s,UK,John Lewis,Unexpected Guest,Adam&EveDDB,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+Unexpected+Guest+commercial
281,2021,2020s,USA,Squarespace,The Singularity,Anomaly,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Squarespace+The+Singularity+commercial
282,2021,2020s,USA,Coinbase,WAGMI / QR Code,Accenture Song,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Coinbase+WAGMI+QR+Code+commercial
283,2022,2020s,USA,Apple,The Greatest,TBWA\Media Arts Lab,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Apple+The+Greatest+commercial
284,2022,2020s,USA,Nike,Never Done Playing,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Never+Done+Playing+commercial
285,2022,2020s,UK,John Lewis,The Beginner,Adam&EveDDB,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+The+Beginner+commercial
286,2022,2020s,USA,Heinz,Draw Ketchup,Rethink,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Heinz+Draw+Ketchup+commercial
287,2022,2020s,USA,CeraVe,Michael CeraVe,Ogilvy,Nick Kaplan,Dave Meyers,Humour,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=CeraVe+Michael+CeraVe+commercial
288,2023,2020s,USA,Apple,Fuzzy Feelings,TBWA\Media Arts Lab,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Apple+Fuzzy+Feelings+commercial
289,2023,2020s,USA,Nike,What the Football,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+What+the+Football+commercial
290,2023,2020s,USA,Coca-Cola,Masterpiece,WPP,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Coca+Cola+Masterpiece+commercial
291,2023,2020s,UK,John Lewis,Snapper: The Perfect Tree,Saatchi & Saatchi,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+Snapper+The+Perfect+Tree+commercial
292,2023,2020s,USA,Dove,It's a Hardknock Life,Ogilvy,,,Social / Purpose,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Dove+It+s+a+Hardknock+Life+commercial
293,2024,2020s,USA,Apple,Crush!,TBWA\Media Arts Lab,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Apple+Crush+commercial
294,2024,2020s,USA,Dove,The Code,Ogilvy,,,Social / Purpose,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Dove+The+Code+commercial
295,2024,2020s,USA,CeraVe,Michael CeraVe / 2024,Ogilvy,,,Humour,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=CeraVe+Michael+CeraVe+2024+commercial
296,2024,2020s,UK,John Lewis,The Gifting Hour,Saatchi & Saatchi,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=John+Lewis+The+Gifting+Hour+commercial
297,2024,2020s,USA,Nike,Winning Isn't for Everyone,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Winning+Isn+t+for+Everyone+commercial
298,1959,1950s,USA,Volkswagen,Think Small,DDB,Julian Koenig,,Brand Film / TVC,Advertising,Film,"A foundational lesson in simplicity, honesty and the power of a distinctive advertising voice",https://www.youtube.com/results?search_query=Volkswagen+Think+Small+commercial
299,1960,1960s,USA,Volkswagen,Lemon,DDB,Julian Koenig,,Brand Film / TVC,Advertising,Film,"A foundational lesson in simplicity, honesty and the power of a distinctive advertising voice",https://www.youtube.com/results?search_query=Volkswagen+Lemon+commercial
300,1962,1960s,USA,Polaroid,The Polaroid Swinger,DDB,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Polaroid+The+Polaroid+Swinger+commercial
301,1963,1960s,USA,Alka-Seltzer,Plop Plop Fizz Fizz,Doyle Dane Bernbach,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Alka+Seltzer+Plop+Plop+Fizz+Fizz+commercial
302,1964,1960s,USA,Johnson & Johnson,Daisy,Doyle Dane Bernbach,Bill Backer,Tony Schwartz,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Johnson+Johnson+Daisy+commercial
303,1964,1960s,USA,Pepsi,Come Alive! You're in the Pepsi Generation,BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Pepsi+Come+Alive+You+re+in+the+Pepsi+Generation+commercial
304,1965,1960s,USA,United Airlines,Take Me Along,Leo Burnett,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=United+Airlines+Take+Me+Along+commercial
305,1966,1960s,UK,Cadbury,Flake,Ogilvy,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Cadbury+Flake+commercial
306,1967,1960s,USA,Coca-Cola,Hilltop,McCann Erickson,Bill Backer,Harvey Gabor,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Coca+Cola+Hilltop+commercial
307,1969,1960s,USA,Marlboro,The Marlboro Man,Leo Burnett,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Marlboro+The+Marlboro+Man+commercial
308,1970,1970s,USA,Coca-Cola,I'd Like to Buy the World a Coke,McCann Erickson,Bill Backer,Harvey Gabor,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Coca+Cola+I+d+Like+to+Buy+the+World+a+Coke+commercial
309,1972,1970s,USA,Kodak,The Family of Man,Ogilvy,,,Emotional,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Kodak+The+Family+of+Man+commercial
310,1972,1970s,UK,British Rail,This is the Age of the Train,Collett Dickenson Pearce,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=British+Rail+This+is+the+Age+of+the+Train+commercial
311,1973,1970s,USA,Marlboro,Come to Where the Flavor Is,Leo Burnett,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Marlboro+Come+to+Where+the+Flavor+Is+commercial
312,1976,1970s,USA,National Lampoon,If You Don't Buy This Magazine,Needham Harper Steers,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=National+Lampoon+If+You+Don+t+Buy+This+Magazine+commercial
313,1977,1970s,UK,Guinness,The Man with the Golden Arm,BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+The+Man+with+the+Golden+Arm+commercial
314,1978,1970s,USA,Coca-Cola,Mean Joe Greene,McCann Erickson,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Coca+Cola+Mean+Joe+Greene+commercial
315,1978,1970s,UK,British Airways,The Face,Saatchi & Saatchi,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=British+Airways+The+Face+commercial
316,1980,1980s,UK,The Guardian,Points of View,Collett Dickenson Pearce,,Hugh Hudson,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=The+Guardian+Points+of+View+commercial
317,1980,1980s,USA,Apple,The Mouse That Roared,Chiat\Day,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Apple+The+Mouse+That+Roared+commercial
318,1981,1980s,UK,The Economist,White on Red,David Abbott Associates,David Abbott,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=The+Economist+White+on+Red+commercial
319,1982,1980s,USA,AT&T,Reach Out and Touch Someone,N.W. Ayer,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=AT+T+Reach+Out+and+Touch+Someone+commercial
320,1983,1980s,UK,Levi's,501 / Rivets,Bartle Bogle Hegarty,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Levi+s+501+Rivets+commercial
321,1985,1980s,UK,Guardian,Skinhead,Collett Dickenson Pearce,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guardian+Skinhead+commercial
322,1985,1980s,USA,Apple,Lemmings,Chiat\Day,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Apple+Lemmings+commercial
323,1986,1980s,UK,British Telecom,It's Good to Talk,Saatchi & Saatchi,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=British+Telecom+It+s+Good+to+Talk+commercial
324,1986,1980s,USA,Nike,Air Jordan / Mars Blackmon,Chiat\Day,Peter Moore,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Air+Jordan+Mars+Blackmon+commercial
325,1987,1980s,UK,Yellow Pages,J.R. Hartley,AMV BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Yellow+Pages+J+R+Hartley+commercial
326,1987,1980s,USA,Pepsi,Michael Jackson,BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Pepsi+Michael+Jackson+commercial
327,1988,1980s,UK,British Airways,The Face / updated,Saatchi & Saatchi,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=British+Airways+The+Face+updated+commercial
328,1988,1980s,USA,Nike,Mars Blackmon,Chiat\Day,Peter Moore,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+Mars+Blackmon+commercial
329,1990,1990s,UK,Bartle Bogle Hegarty,Levi's / Creek,BBH,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Bartle+Bogle+Hegarty+Levi+s+Creek+commercial
330,1991,1990s,USA,Apple,The Power to Be Your Best,Chiat\Day,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Apple+The+Power+to+Be+Your+Best+commercial
331,1992,1990s,UK,Nike,The Tag,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+The+Tag+commercial
332,1994,1990s,UK,Guinness,Anticipation,AMV BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+Anticipation+commercial
333,1995,1990s,USA,Gap,Khakis / Swing,Ogilvy,,,Brand Film / TVC,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Gap+Khakis+Swing+commercial
334,1997,1990s,UK,Guinness,Dancing Man,AMV BBDO,,,Brand Film / TVC,Advertising,Film,"A strong example of UK advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Guinness+Dancing+Man+commercial
335,1998,1990s,USA,Nike,I Can,Wieden+Kennedy,,,Sport,Advertising,Film,"A strong example of USA advertising craft, showing how a clear idea can make a brand memorable",https://www.youtube.com/results?search_query=Nike+I+Can+commercial
